"","datetime","date","do","month_yr"
"18949",2019-03-01 17:00:00,2019-03-01,9.8,"2019-03"
"18950",2019-03-01 18:00:00,2019-03-01,9.8,"2019-03"
"18951",2019-03-01 19:00:00,2019-03-01,9.9,"2019-03"
"18952",2019-03-01 20:00:00,2019-03-01,9.8,"2019-03"
"18953",2019-03-01 21:00:00,2019-03-01,9.8,"2019-03"
"18954",2019-03-01 22:00:00,2019-03-01,9.7,"2019-03"
"18955",2019-03-01 23:00:00,2019-03-01,9.8,"2019-03"
"18956",2019-03-02 00:00:00,2019-03-02,9.85,"2019-03"
"18957",2019-03-02 01:00:00,2019-03-02,9.9,"2019-03"
"18958",2019-03-02 02:00:00,2019-03-02,9.9,"2019-03"
"18959",2019-03-02 03:00:00,2019-03-02,9.9,"2019-03"
"18960",2019-03-02 04:00:00,2019-03-02,9.9,"2019-03"
"18961",2019-03-02 05:00:00,2019-03-02,9.9,"2019-03"
"18962",2019-03-02 06:00:00,2019-03-02,9.9,"2019-03"
"18963",2019-03-02 07:00:00,2019-03-02,9.9,"2019-03"
"18964",2019-03-02 08:00:00,2019-03-02,9.9,"2019-03"
"18965",2019-03-02 09:00:00,2019-03-02,9.8,"2019-03"
"18966",2019-03-02 10:00:00,2019-03-02,9.9,"2019-03"
"18967",2019-03-02 11:00:00,2019-03-02,9.9,"2019-03"
"18968",2019-03-02 12:00:00,2019-03-02,9.9,"2019-03"
"18969",2019-03-02 13:00:00,2019-03-02,9.9,"2019-03"
"18970",2019-03-02 14:00:00,2019-03-02,9.8,"2019-03"
"18971",2019-03-02 15:00:00,2019-03-02,9.7,"2019-03"
"18972",2019-03-02 16:00:00,2019-03-02,9.7,"2019-03"
"18973",2019-03-02 17:00:00,2019-03-02,9.6,"2019-03"
"18974",2019-03-02 18:00:00,2019-03-02,9.6,"2019-03"
"18975",2019-03-02 19:00:00,2019-03-02,9.6,"2019-03"
"18976",2019-03-02 20:00:00,2019-03-02,9.7,"2019-03"
"18977",2019-03-02 21:00:00,2019-03-02,9.7,"2019-03"
"18978",2019-03-02 22:00:00,2019-03-02,9.6,"2019-03"
"18979",2019-03-02 23:00:00,2019-03-02,9.5,"2019-03"
"18980",2019-03-03 00:00:00,2019-03-03,9.7,"2019-03"
"18981",2019-03-03 01:00:00,2019-03-03,9.7,"2019-03"
"18982",2019-03-03 02:00:00,2019-03-03,9.6,"2019-03"
"18983",2019-03-03 03:00:00,2019-03-03,9.6,"2019-03"
"18984",2019-03-03 04:00:00,2019-03-03,9.4,"2019-03"
"18985",2019-03-03 05:00:00,2019-03-03,9.4,"2019-03"
