"","datetime","date","water_temp","sea_water_temperature_qc_agg","month_yr"
"76",NA,NA,NA,NA,NA
"77",2017-01-04 04:00:00,2017-01-04,10.27,1,"2017-01"
"78",2017-01-04 05:00:00,2017-01-04,10.055,1,"2017-01"
"79",2017-01-04 06:00:00,2017-01-04,10.06,1,"2017-01"
"80",2017-01-04 07:00:00,2017-01-04,10.055,1,"2017-01"
"81",2017-01-04 08:00:00,2017-01-04,10.08,1,"2017-01"
"82",NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA
"84",2017-01-04 11:00:00,2017-01-04,10.52,1,"2017-01"
"85",2017-01-04 12:00:00,2017-01-04,10.66,1,"2017-01"
"86",2017-01-04 13:00:00,2017-01-04,10.67,1,"2017-01"
"87",2017-01-04 14:00:00,2017-01-04,10.755,1,"2017-01"
"88",2017-01-04 15:00:00,2017-01-04,10.705,1,"2017-01"
"89",NA,NA,NA,NA,NA
"90",2017-01-04 17:00:00,2017-01-04,10.315,1,"2017-01"
"91",2017-01-04 18:00:00,2017-01-04,10.255,1,"2017-01"
"92",2017-01-04 19:00:00,2017-01-04,10.095,1,"2017-01"
"93",2017-01-04 20:00:00,2017-01-04,10.05,1,"2017-01"
