"","datetime","date","air_temperature","air_temperature_qc_agg","air_temperature_qc_tests"
"191",2017-01-08 22:00:00,2017-01-08,15.58505,1,NA
"192",2017-01-08 23:00:00,2017-01-08,15.250125,1,NA
"193",2017-01-09 00:00:00,2017-01-09,15.131455,1,NA
"194",2017-01-09 01:00:00,2017-01-09,15.09753,1,NA
"195",2017-01-09 02:00:00,2017-01-09,14.96154,1,NA
"196",2017-01-09 03:00:00,2017-01-09,14.72433,1,NA
"197",2017-01-09 04:00:00,2017-01-09,14.97878,1,NA
"198",2017-01-09 05:00:00,2017-01-09,15.011865,1,NA
"199",2017-01-09 06:00:00,2017-01-09,14.97632,1,NA
"200",2017-01-09 07:00:00,NA,NA,NA,NA
"201",2017-01-09 08:00:00,2017-01-09,12.820735,1,NA
"202",2017-01-09 09:00:00,2017-01-09,12.55414,1,NA
"203",2017-01-09 10:00:00,2017-01-09,12.153625,1,NA
"204",2017-01-09 11:00:00,2017-01-09,11.81601,1,NA
"205",2017-01-09 12:00:00,2017-01-09,11.915885,1,NA
"206",2017-01-09 13:00:00,2017-01-09,11.814255,1,NA
"207",2017-01-09 14:00:00,NA,NA,NA,NA
"208",2017-01-09 15:00:00,2017-01-09,10.6026,1,NA
"209",2017-01-09 16:00:00,2017-01-09,11.17976,1,NA
"210",2017-01-09 17:00:00,2017-01-09,12.13798,1,NA
"211",2017-01-09 18:00:00,2017-01-09,12.459645,1,NA
"212",2017-01-09 19:00:00,2017-01-09,12.477365,1,NA
"213",2017-01-09 20:00:00,2017-01-09,13.08442,1,NA
"214",2017-01-09 21:00:00,2017-01-09,13.047225,1,NA
"215",2017-01-09 22:00:00,2017-01-09,12.7824,1,NA
"216",2017-01-09 23:00:00,2017-01-09,12.61537,1,NA
"217",2017-01-10 00:00:00,2017-01-10,11.8487,1,NA
"218",2017-01-10 01:00:00,2017-01-10,12.01661,1,NA
"219",2017-01-10 02:00:00,2017-01-10,11.576945,1,NA
"220",2017-01-10 03:00:00,2017-01-10,12.104445,1,NA
"221",2017-01-10 04:00:00,2017-01-10,12.18939,1,NA
"222",2017-01-10 05:00:00,2017-01-10,12.25728,1,NA
"223",2017-01-10 06:00:00,2017-01-10,12.25728,1,NA
"224",2017-01-10 07:00:00,2017-01-10,12.52648,1,NA
"225",2017-01-10 08:00:00,2017-01-10,12.782065,1,NA
"226",2017-01-10 09:00:00,2017-01-10,12.865655,1,NA
"227",2017-01-10 10:00:00,2017-01-10,12.81178,1,NA
"228",2017-01-10 11:00:00,2017-01-10,12.83353,1,NA
"229",2017-01-10 12:00:00,2017-01-10,12.612915,1,NA
"230",2017-01-10 13:00:00,2017-01-10,12.39127,1,NA
"231",2017-01-10 14:00:00,2017-01-10,12.357325,1,NA
"232",2017-01-10 15:00:00,2017-01-10,12.357675,1,NA
"233",2017-01-10 16:00:00,2017-01-10,12.981715,1,NA
"234",2017-01-10 17:00:00,2017-01-10,13.53753,1,NA
"235",2017-01-10 18:00:00,2017-01-10,13.599185,1,NA
"236",2017-01-10 19:00:00,2017-01-10,13.6987,1,NA
"237",2017-01-10 20:00:00,2017-01-10,13.8005,1,NA
"238",2017-01-10 21:00:00,2017-01-10,13.49511,1,NA
"239",2017-01-10 22:00:00,2017-01-10,13.6987,1,NA
"240",2017-01-10 23:00:00,2017-01-10,13.919265,1,NA
"241",2017-01-11 00:00:00,2017-01-11,14.03754,1,NA
"242",2017-01-11 01:00:00,2017-01-11,13.86828,1,NA
"243",2017-01-11 02:00:00,2017-01-11,13.80029,1,NA
"244",2017-01-11 03:00:00,NA,NA,NA,NA
"245",2017-01-11 04:00:00,2017-01-11,11.91634,1,NA
"246",2017-01-11 05:00:00,2017-01-11,12.52771,1,NA
"247",2017-01-11 06:00:00,2017-01-11,12.89335,1,NA
"248",2017-01-11 07:00:00,2017-01-11,12.57193,1,NA
"249",2017-01-11 08:00:00,2017-01-11,12.252725,1,NA
"250",2017-01-11 09:00:00,2017-01-11,12.406065,1,NA
"251",2017-01-11 10:00:00,2017-01-11,12.476225,1,NA
"252",2017-01-11 11:00:00,2017-01-11,12.188075,1,NA
"253",2017-01-11 12:00:00,2017-01-11,11.98367,1,NA
"254",2017-01-11 13:00:00,2017-01-11,12.05192,1,NA
"255",2017-01-11 14:00:00,NA,NA,NA,NA
"256",2017-01-11 15:00:00,2017-01-11,9.771721,1,NA
"257",2017-01-11 16:00:00,2017-01-11,10.730695,1,NA
"258",2017-01-11 17:00:00,2017-01-11,12.14068,1,NA
"259",2017-01-11 18:00:00,2017-01-11,11.891575,1,NA
"260",2017-01-11 19:00:00,2017-01-11,11.89145,1,NA
"261",2017-01-11 20:00:00,2017-01-11,12.02715,1,NA
"262",2017-01-11 21:00:00,2017-01-11,11.96507,1,NA
"263",2017-01-11 22:00:00,2017-01-11,11.46422,1,NA
"264",2017-01-11 23:00:00,2017-01-11,11.16984,1,NA
"265",2017-01-12 00:00:00,2017-01-12,10.62789,1,NA
"266",2017-01-12 01:00:00,2017-01-12,9.601406,1,NA
"267",2017-01-12 02:00:00,2017-01-12,9.182621,1,NA
"268",2017-01-12 03:00:00,2017-01-12,8.0939045,1,NA
"269",2017-01-12 04:00:00,2017-01-12,8.1830485,1,NA
"270",2017-01-12 05:00:00,2017-01-12,8.149088,1,NA
"271",2017-01-12 06:00:00,2017-01-12,8.4207805,1,NA
"272",2017-01-12 07:00:00,2017-01-12,8.5566275,1,NA
"273",2017-01-12 08:00:00,2017-01-12,8.412289,1,NA
"274",2017-01-12 09:00:00,2017-01-12,8.429272,1,NA
"275",2017-01-12 10:00:00,2017-01-12,7.38448,1,NA
"276",2017-01-12 11:00:00,2017-01-12,7.3080785,1,NA
"277",2017-01-12 12:00:00,2017-01-12,7.214668,1,NA
"278",2017-01-12 13:00:00,2017-01-12,6.841026,1,NA
"279",2017-01-12 14:00:00,2017-01-12,6.841026,1,NA
"280",2017-01-12 15:00:00,2017-01-12,6.540894,1,NA
"281",2017-01-12 16:00:00,2017-01-12,7.161329,1,NA
"282",2017-01-12 17:00:00,2017-01-12,7.5798375,1,NA
"283",2017-01-12 18:00:00,2017-01-12,8.1896995,1,NA
"284",2017-01-12 19:00:00,2017-01-12,8.5311525,1,NA
"285",2017-01-12 20:00:00,2017-01-12,9.2773745,1,NA
"286",2017-01-12 21:00:00,2017-01-12,9.0829295,1,NA
"287",2017-01-12 22:00:00,2017-01-12,8.768913,1,NA
"288",2017-01-12 23:00:00,2017-01-12,8.973038,1,NA
"289",2017-01-13 00:00:00,2017-01-13,8.93412,1,NA
"290",2017-01-13 01:00:00,2017-01-13,8.273788,1,NA
"291",2017-01-13 02:00:00,2017-01-13,8.54813,1,NA
"292",2017-01-13 03:00:00,2017-01-13,7.537346,1,NA
"293",2017-01-13 04:00:00,2017-01-13,7.5288865,1,NA
"294",2017-01-13 05:00:00,2017-01-13,7.341583,1,NA
"295",2017-01-13 06:00:00,2017-01-13,7.2991235,1,NA
"296",2017-01-13 07:00:00,2017-01-13,6.984871,1,NA
"297",2017-01-13 08:00:00,2017-01-13,6.730072,1,NA
"298",2017-01-13 09:00:00,2017-01-13,6.3479575,1,NA
"299",2017-01-13 10:00:00,2017-01-13,6.272554,1,NA
"300",2017-01-13 11:00:00,2017-01-13,6.4091205,1,NA
"301",2017-01-13 12:00:00,2017-01-13,5.422287,1,NA
"302",2017-01-13 13:00:00,2017-01-13,5.0144485,1,NA
"303",2017-01-13 14:00:00,2017-01-13,4.8025325,1,NA
"304",2017-01-13 15:00:00,2017-01-13,4.675226,1,NA
"305",2017-01-13 16:00:00,2017-01-13,4.539082,1,NA
"306",2017-01-13 17:00:00,2017-01-13,4.436947,1,NA
"307",2017-01-13 18:00:00,2017-01-13,4.641136,1,NA
"308",2017-01-13 19:00:00,NA,NA,NA,NA
"309",2017-01-13 20:00:00,2017-01-13,8.353882,1,NA
"310",2017-01-13 21:00:00,2017-01-13,10.27509,1,NA
"311",2017-01-13 22:00:00,2017-01-13,11.357575,1,NA
"312",2017-01-13 23:00:00,2017-01-13,11.340895,1,NA
"313",2017-01-14 00:00:00,2017-01-14,11.25565,1,NA
"314",2017-01-14 01:00:00,2017-01-14,10.8737,1,NA
"315",2017-01-14 02:00:00,2017-01-14,10.0098915,1,NA
"316",2017-01-14 03:00:00,2017-01-14,9.758545,1,NA
"317",2017-01-14 04:00:00,2017-01-14,8.8764,1,NA
"318",2017-01-14 05:00:00,2017-01-14,7.860046,1,NA
"319",2017-01-14 06:00:00,2017-01-14,7.77272,1,NA
"320",2017-01-14 07:00:00,2017-01-14,7.59639,1,NA
"321",2017-01-14 08:00:00,2017-01-14,7.375565,1,NA
"322",2017-01-14 09:00:00,2017-01-14,7.477482,1,NA
"323",2017-01-14 10:00:00,2017-01-14,6.968075,1,NA
"324",2017-01-14 11:00:00,2017-01-14,6.781052,1,NA
"325",2017-01-14 12:00:00,2017-01-14,6.458309,1,NA
"326",2017-01-14 13:00:00,2017-01-14,6.2908005,1,NA
"327",2017-01-14 14:00:00,2017-01-14,6.279274,1,NA
"328",2017-01-14 15:00:00,2017-01-14,6.107544,1,NA
"329",2017-01-14 16:00:00,2017-01-14,6.0849115,1,NA
"330",2017-01-14 17:00:00,2017-01-14,6.2799495,1,NA
"331",2017-01-14 18:00:00,NA,NA,NA,NA
"332",2017-01-14 19:00:00,2017-01-14,8.2900945,1,NA
"333",2017-01-14 20:00:00,2017-01-14,8.7586325,1,NA
"334",2017-01-14 21:00:00,NA,NA,NA,NA
"335",2017-01-14 22:00:00,2017-01-14,13.7319,1,NA
"336",2017-01-14 23:00:00,2017-01-14,12.31629,1,NA
"337",2017-01-15 00:00:00,2017-01-15,10.80286,1,NA
"338",2017-01-15 01:00:00,2017-01-15,10.347975,1,NA
"339",2017-01-15 02:00:00,2017-01-15,9.753893,1,NA
"340",2017-01-15 03:00:00,2017-01-15,8.748781,1,NA
"341",2017-01-15 04:00:00,2017-01-15,8.328909,1,NA
"342",2017-01-15 05:00:00,2017-01-15,7.8006055,1,NA
"343",2017-01-15 06:00:00,2017-01-15,7.88089,1,NA
"344",2017-01-15 07:00:00,2017-01-15,7.829218,1,NA
"345",2017-01-15 08:00:00,2017-01-15,7.5527955,1,NA
"346",2017-01-15 09:00:00,2017-01-15,6.900341,1,NA
"347",2017-01-15 10:00:00,2017-01-15,6.9000415,1,NA
"348",2017-01-15 11:00:00,2017-01-15,6.6743045,1,NA
"349",2017-01-15 12:00:00,2017-01-15,6.4759995,1,NA
"350",2017-01-15 13:00:00,2017-01-15,6.263601,1,NA
"351",2017-01-15 14:00:00,2017-01-15,6.179661,1,NA
"352",2017-01-15 15:00:00,2017-01-15,5.50703,1,NA
"353",2017-01-15 16:00:00,2017-01-15,5.235254,1,NA
"354",2017-01-15 17:00:00,2017-01-15,5.4370535,1,NA
"355",2017-01-15 18:00:00,2017-01-15,5.720314,1,NA
"356",2017-01-15 19:00:00,2017-01-15,6.120041,1,NA
"357",2017-01-15 20:00:00,2017-01-15,6.595364,1,NA
"358",2017-01-15 21:00:00,NA,NA,NA,NA
"359",2017-01-15 22:00:00,2017-01-15,8.277611,1,NA
"360",2017-01-15 23:00:00,2017-01-15,9.211502,1,NA
"361",2017-01-16 00:00:00,2017-01-16,8.323559,1,NA
