"","thalli","date","run","start_time","end_time","tank","treatment","hach_start_unit","hach_end_unit","hach_period","unit_ph_hach","unit_temp_hach","unit_sal_hach","unit_do_hach","par","thalli_weight","discrete_collection_time","header_hach_time","header_pH_hach","header_temp_hach","header_sal_hach","header_do_hach","repro_apices","veg_apices","wwr","wwv","wwrecp","concept","oo_in_1","oo_in_2","oo_in_3","dwr","dwv","dwrecp","oo_disc_1","oo_disc_2","oo_disc_3","oo_disc_4","ph_probe_location","hobo_logger_location","notes","unit_ph_corrected","avg_disc_oo","unit_avg_sal","unit_avg_ph_c","unit_avg_do","unit_avg_temp"
"26","C1","11/12/2019",1,"11:23","16:00","C",1,"14:05","14:41","mid",8.09,16.3,26.8,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.06410256410256,NA,26.6333333333333,8.08974358974359,9.80666666666667,16.1333333333333
"27","C1","11/12/2019",1,"11:23","16:00","C",1,"12:39","13:12","start",8.12,15.6,26.6,10.76,740,28.541,NA,NA,NA,NA,NA,NA,48,30,18.471,8.453,0.52,322,34,22,41,2.299,1.935,0.07,148,78,162,NA,"","","",8.1025641025641,129.333333333333,26.6333333333333,8.08974358974359,9.80666666666667,16.1333333333333
"28","C2","11/12/2019",1,"11:23","16:00","C",2,"15:29","15:55","end",6.65,16.5,27,9.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.21794871794872,NA,26.9,6.41452991452991,9.68,16.0666666666667
"29","C2","11/12/2019",1,"11:23","16:00","C",2,"14:05","14:41","mid",6.58,16.3,26.9,9.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.12820512820513,NA,26.9,6.41452991452991,9.68,16.0666666666667
"30","C2","11/12/2019",1,"11:23","16:00","C",2,"12:39","13:12","start",7.18,15.4,26.8,10.32,753,27.195,NA,NA,NA,NA,NA,NA,37,12,21.508,5.205,0.762,244,12,34,12,2.916,1.314,0.133,458,112,495,129,"","","",6.8974358974359,298.5,26.9,6.41452991452991,9.68,16.0666666666667
"31","C3","11/12/2019",1,"11:23","16:00","C",3,"15:29","15:55","end",8.1,16.7,30.6,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.07692307692308,NA,30.4666666666667,8.11111111111111,10.1533333333333,16.2666666666667
"32","C3","11/12/2019",1,"11:23","16:00","C",3,"14:05","14:41","mid",8.07,16.5,30.5,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.03846153846154,NA,30.4666666666667,8.11111111111111,10.1533333333333,16.2666666666667
"33","C3","11/12/2019",1,"11:23","16:00","C",3,"12:39","13:12","start",8.21,15.6,30.3,10.43,758,28.288,NA,NA,NA,NA,NA,NA,47,0,21.6,5.217,0.984,388,34,49,57,3.2,1.488,0.139,32,136,105,8,"","","am flow issue-resolved",8.21794871794872,70.25,30.4666666666667,8.11111111111111,10.1533333333333,16.2666666666667
"34","C4","11/12/2019",1,"11:23","16:00","C",4,"15:29","15:55","end",7.39,17,30.7,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.16666666666667,NA,30.5666666666667,7.44871794871795,9.59333333333333,16.5666666666667
"35","C4","11/12/2019",1,"11:23","16:00","C",4,"14:05","14:41","mid",7.39,16.8,30.6,9.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.16666666666667,NA,30.5666666666667,7.44871794871795,9.59333333333333,16.5666666666667
