source,scientificName,observed_on,latitude,longitude,type,references
iNaturalist,Fucus distichus L.,9/27/2019 12:47,37.563923,-122.249229,wrack,https://www.inaturalist.org/observations/33931553
iNaturalist,Fucus distichus L.,10/1/2019 12:02,37.766354,-122.386047,attached,https://www.inaturalist.org/observations/33725022
iNaturalist,Fucus distichus L.,7/20/2019 10:18,37.939368,-122.410671,wrack,https://www.inaturalist.org/observations/29183707
iNaturalist,Fucus distichus L.,7/20/2019 14:12,37.94373,-122.41172,unclear,https://www.inaturalist.org/observations/29224674
iNaturalist,Fucus distichus L.,9/28/2017 9:42,37.771617,-122.298117,attached,https://www.inaturalist.org/observations/8163191
iNaturalist,Fucus distichus L.,6/15/2019 10:51,37.939695,-122.410387,unclear,https://www.inaturalist.org/observations/27139929
iNaturalist,Fucus distichus L.,6/15/2019 10:05,37.939578,-122.410392,attached,https://www.inaturalist.org/observations/27108288
iNaturalist,Fucus distichus L.,6/13/2019 15:26,37.807292,-122.469033,wrack,https://www.inaturalist.org/observations/26940198
iNaturalist,Fucus distichus L.,6/8/2019 11:17,37.833859,-122.47584,attached,https://www.inaturalist.org/observations/26621356
iNaturalist,Fucus distichus L.,6/7/2019 9:10,37.787742,-122.493683,wrack,https://www.inaturalist.org/observations/26583498
iNaturalist,Fucus distichus L.,6/7/2019 9:29,37.808132,-122.421573,wrack,https://www.inaturalist.org/observations/26557152
iNaturalist,Fucus distichus L.,5/25/2019 10:19,37.806867,-122.425383,attached,https://www.inaturalist.org/observations/26254045
iNaturalist,Fucus distichus L.,5/26/2019 10:56,37.83232,-122.373169,attached,https://www.inaturalist.org/observations/26010283
iNaturalist,Fucus distichus L.,5/27/2019 11:23,38.000472,-122.461058,unclear,https://www.inaturalist.org/observations/25919693
iNaturalist,Fucus distichus L.,5/27/2019 11:23,38.000511,-122.460983,unclear,https://www.inaturalist.org/observations/25919671
iNaturalist,Fucus distichus L.,5/9/2019 11:53,37.91615,-122.478661,attached,https://www.inaturalist.org/observations/24848886
iNaturalist,Fucus distichus L.,5/9/2019 11:53,37.916159,-122.47868,attached,https://www.inaturalist.org/observations/24848859
iNaturalist,Fucus distichus L.,5/9/2019 11:06,37.894271,-122.449779,attached,https://www.inaturalist.org/observations/24846591
iNaturalist,Fucus distichus L.,5/8/2019 11:14,37.881545,-122.503899,attached,https://www.inaturalist.org/observations/24811496
iNaturalist,Fucus distichus L.,5/8/2019 11:08,37.881644,-122.503824,attached,https://www.inaturalist.org/observations/24802095
iNaturalist,Fucus distichus L.,5/8/2019 10:10,37.833797,-122.475856,attached,https://www.inaturalist.org/observations/24791824
iNaturalist,Fucus distichus L.,4/28/2019 16:09,37.807536,-122.426204,attached,https://www.inaturalist.org/observations/23880455
iNaturalist,Fucus distichus L.,4/26/2019 12:57,37.806861,-122.448202,wrack,https://www.inaturalist.org/observations/23322820
iNaturalist,Fucus distichus L.,5/1/2019 13:21,37.70842,-122.376913,attached,https://www.inaturalist.org/observations/24325510
iNaturalist,Fucus distichus L.,4/28/2019 13:38,37.765675,-122.275245,wrack,https://www.inaturalist.org/observations/23869829
iNaturalist,Fucus distichus L.,4/28/2019 14:07,37.910218,-122.390092,attached,https://www.inaturalist.org/observations/23811701
iNaturalist,Fucus distichus L.,4/28/2019 14:54,37.767204,-122.276235,wrack,https://www.inaturalist.org/observations/23750670
iNaturalist,Fucus distichus L.,4/27/2019 10:07,37.888652,-122.326128,unclear,https://www.inaturalist.org/observations/23411056
iNaturalist,Fucus distichus L.,4/10/2019 10:34,37.812613,-122.368583,attached,https://www.inaturalist.org/observations/22327109
iNaturalist,Fucus distichus L.,4/10/2019 10:28,37.812703,-122.368662,attached,https://www.inaturalist.org/observations/22324267
iNaturalist,Fucus distichus L.,4/10/2019 11:01,37.807603,-122.364655,attached,https://www.inaturalist.org/observations/22297627
iNaturalist,Fucus distichus L.,4/10/2019 10:48,37.807563,-122.364212,attached,https://www.inaturalist.org/observations/22290065
iNaturalist,Fucus distichus L.,4/10/2019 10:27,37.812583,-122.368633,attached,https://www.inaturalist.org/observations/22289628
iNaturalist,Fucus distichus L.,4/10/2019 10:29,37.812603,-122.368671,attached,https://www.inaturalist.org/observations/22289277
iNaturalist,Fucus distichus L.,3/30/2019 1:13,37.677353,-122.382387,attached,https://www.inaturalist.org/observations/21770270
iNaturalist,Fucus distichus L.,3/19/2019 18:23,37.8886,-122.326632,attached,https://www.inaturalist.org/observations/21406192
iNaturalist,Fucus distichus L.,3/16/2019 15:42,37.888008,-122.325303,attached,https://www.inaturalist.org/observations/21360787
iNaturalist,Fucus distichus L.,3/16/2019 12:17,37.708598,-122.374588,attached,https://www.inaturalist.org/observations/21293237
iNaturalist,Fucus distichus L.,1/30/2019 15:53,37.916207,-122.478541,attached,https://www.inaturalist.org/observations/19977281
iNaturalist,Fucus distichus L.,1/30/2019 14:54,37.894153,-122.449851,attached,https://www.inaturalist.org/observations/19976516
iNaturalist,Fucus distichus L.,3/13/2019 9:42,37.894164,-122.450127,attached,https://www.inaturalist.org/observations/21206378
iNaturalist,Fucus distichus L.,3/2/2019 9:16,37.806715,-122.468494,wrack,https://www.inaturalist.org/observations/20881360
iNaturalist,Fucus distichus L.,1/31/2019 15:50,37.833858,-122.475882,attached,https://www.inaturalist.org/observations/19997524
iNaturalist,Fucus distichus L.,1/24/2019 16:02,37.5637,-122.249275,attached,https://www.inaturalist.org/observations/19989968
iNaturalist,Fucus distichus L.,1/30/2019 15:18,37.738231,-122.372477,attached,https://www.inaturalist.org/observations/19983633
iNaturalist,Fucus distichus L.,1/3/2019 16:53,37.807495,-122.425933,attached,https://www.inaturalist.org/observations/19412647
iNaturalist,Fucus distichus L.,12/4/2018 16:09,37.833819,-122.475875,attached,https://www.inaturalist.org/observations/18833132
iNaturalist,Fucus distichus L.,12/5/2018 18:01,37.894234,-122.450269,attached,https://www.inaturalist.org/observations/18856032
iNaturalist,Fucus distichus L.,12/5/2018 16:13,37.916166,-122.478548,attached,https://www.inaturalist.org/observations/18852485
iNaturalist,Fucus distichus L.,10/29/2018 15:56,37.561926,-122.248114,wrack,https://www.inaturalist.org/observations/17946804
iNaturalist,Fucus distichus L.,10/29/2018 15:50,37.562638,-122.248473,wrack,https://www.inaturalist.org/observations/17946558
iNaturalist,Fucus distichus L.,2/8/2016 12:11,37.791405,-122.485026,wrack,https://www.inaturalist.org/observations/2657610
iNaturalist,Fucus distichus L.,8/20/2018 16:10,37.889726,-122.3276,attached,https://www.inaturalist.org/observations/15742955
iNaturalist,Fucus distichus L.,6/16/2018 10:37,37.86673,-122.437408,attached,https://www.inaturalist.org/observations/13498085
iNaturalist,Fucus distichus L.,6/13/2018 8:52,37.671805,-122.381085,attached,https://www.inaturalist.org/observations/13396437
iNaturalist,Fucus distichus L.,4/3/2018 17:22,37.738517,-122.373537,unclear,https://www.inaturalist.org/observations/10747237
iNaturalist,Fucus distichus L.,8/11/2018 16:06,37.73556,-122.375951,attached,https://www.inaturalist.org/observations/15351770
iNaturalist,Fucus distichus L.,7/21/2018 14:41,37.870595,-122.427588,attached,https://www.inaturalist.org/observations/14594278
iNaturalist,Fucus distichus L.,7/13/2018 8:47,37.82642,-122.42084,attached,https://www.inaturalist.org/observations/14455963
iNaturalist,Fucus distichus L.,7/4/2018 10:44,37.770952,-122.386966,attached,https://www.inaturalist.org/observations/14047768
iNaturalist,Fucus distichus L.,6/2/2018 18:05,37.862655,-122.315033,unclear,https://www.inaturalist.org/observations/13875257
iNaturalist,Fucus distichus L.,6/16/2018 14:19,37.738175,-122.367692,attached,https://www.inaturalist.org/observations/13508344
iNaturalist,Fucus distichus L.,6/16/2018 11:02,37.738247,-122.372355,attached,https://www.inaturalist.org/observations/13498739
iNaturalist,Fucus distichus L.,6/14/2018 9:16,37.793755,-122.276795,wrack,https://www.inaturalist.org/observations/13437562
