"","datetime","date","salinity","F_Sal","median","stdev","hi.95","lo.95","month_yr"
"96",2017-01-04 23:00:00,2017-01-04,28.1545,1,27.696,0.547823338789875,28.7916466775797,26.6003533224202,"2017-01"
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2017-01-05 01:00:00,2017-01-05,28.11,1,28.3615,1.03968613483799,30.3703116138653,26.282127730324,"2017-01"
"99",2017-01-05 02:00:00,2017-01-05,27.517,1,28.3615,0.963309645731613,30.2881192914632,26.4348807085368,"2017-01"
"100",2017-01-05 03:00:00,2017-01-05,25.8355,1,28.3195,1.38028685097146,31.0495516047632,25.5589262980571,"2017-01"
"101",2017-01-05 04:00:00,2017-01-05,25.5605,1,27.3655,1.71589057005865,30.7972811401173,23.9337188598827,"2017-01"
"102",2017-01-05 05:00:00,2017-01-05,24.403,1,25.956,1.21234848195938,28.3676973514393,23.4465319976977,"2017-01"
"103",2017-01-05 06:00:00,2017-01-05,24.1495,1,25.64125,0.987569859002986,27.616389718006,23.5774180122033,"2017-01"
"104",2017-01-05 07:00:00,2017-01-05,23.712,1,24.25125,0.808515249131283,25.8652867955539,22.6372132044461,"2017-01"
"105",2017-01-05 08:00:00,2017-01-05,23.2905,1,24.09975,0.724133901371506,25.548017802743,22.6430137336817,"2017-01"
"106",2017-01-05 09:00:00,2017-01-05,24.3125,1,24.072,0.542137047118549,25.1562740942371,22.9877259057629,"2017-01"
"107",2017-01-05 10:00:00,2017-01-05,25.192,1,24.1385,0.668633107815562,25.4757662156311,22.8012337843689,"2017-01"
"108",2017-01-05 11:00:00,2017-01-05,29.61,1,25.061,2.45053598712979,29.9620719742596,20.1605879628069,"2017-01"
"109",2017-01-05 12:00:00,2017-01-05,30.1015,1,27.25725,2.50650694238217,32.2702638847643,22.2442361152357,"2017-01"
"110",2017-01-05 13:00:00,2017-01-05,30.2435,1,29.55025,2.00889718360279,33.5680443672056,25.5324556327944,"2017-01"
"111",2017-01-05 14:00:00,2017-01-05,30.2995,1,30.1015,0.559513112755072,31.2205262255101,28.9824737744899,"2017-01"
"112",2017-01-05 15:00:00,2017-01-05,30.4145,1,30.19225,0.272373060276873,30.7369961205537,29.6475038794463,"2017-01"
"113",2017-01-05 16:00:00,2017-01-05,29.918,1,30.2095,0.207264175538221,30.6240283510764,29.7949716489236,"2017-01"
"114",2017-01-05 17:00:00,2017-01-05,29.96,1,30.1125,0.369043431895788,30.8569002612405,29.3744131362084,"2017-01"
"115",2017-01-05 18:00:00,2017-01-05,29.628,1,29.809,0.567955189072934,30.9475917966889,28.6704082033111,"2017-01"
"116",2017-01-05 19:00:00,2017-01-05,28.8485,1,29.71225,0.543510522956405,30.8013302687602,28.6315879825943,"2017-01"
"117",2017-01-05 20:00:00,2017-01-05,27.061,1,28.73275,0.993669035448957,30.7378143008425,26.7454119291021,"2017-01"
"118",2017-01-05 21:00:00,2017-01-05,26.6555,1,28.296,1.11554704292256,30.559165016915,26.0659658121869,"2017-01"
"119",2017-01-05 22:00:00,2017-01-05,24.952,1,27.148,1.25833405102713,29.7107752362101,24.6313318979457,"2017-01"
"120",2017-01-05 23:00:00,2017-01-05,26.573,1,26.6555,1.16526319448916,28.9860263889783,24.3249736110217,"2017-01"
"121",2017-01-06 00:00:00,2017-01-06,26.574,1,26.527,0.879030743267442,28.2850614865349,24.7733563383607,"2017-01"
"122",2017-01-06 01:00:00,2017-01-06,28.511,1,26.527,1.23066628623299,28.988332572466,24.065667427534,"2017-01"
"123",2017-01-06 02:00:00,2017-01-06,29.4095,1,26.7405,1.58509612127702,30.0626567220495,23.5173323459151,"2017-01"
"124",2017-01-06 03:00:00,2017-01-06,27.551,1,27.9755,1.12547615115038,30.2075507737313,25.7245476976992,"2017-01"
"125",2017-01-06 04:00:00,2017-01-06,26.9815,1,27.9755,0.9261078328063,29.8277156656126,26.1232843343874,"2017-01"
"126",2017-01-06 05:00:00,2017-01-06,26.794,1,27.5475,0.990990044325943,29.5437042873483,25.5609757134251,"2017-01"
"127",2017-01-06 06:00:00,2017-01-06,26.4795,1,27.18275,0.86479808590374,28.9123461718075,25.4552088066177,"2017-01"
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2017-01-06 08:00:00,2017-01-06,22.4545,1,24.4225,1.5474855303373,27.5174710606746,21.3275289393254,"2017-01"
"130",2017-01-06 09:00:00,2017-01-06,22.0285,1,23.907,1.57823621188507,27.0634724237701,20.7515393810528,"2017-01"
"131",2017-01-06 10:00:00,2017-01-06,21.905,1,23.429,1.13691908356052,25.702838167121,21.1551618328789,"2017-01"
"132",2017-01-06 11:00:00,2017-01-06,26.942,1,23.429,1.98113084464036,27.3912616892807,19.4667383107193,"2017-01"
"133",2017-01-06 12:00:00,2017-01-06,29.8265,1,26.53525,2.85078825421137,32.2368265084228,20.8282949300367,"2017-01"
"134",2017-01-06 13:00:00,2017-01-06,29.6685,1,26.964,2.76840600978709,32.5518433167825,21.4271879804258,"2017-01"
